mpid,d_center,E_CO
mp-21027,4.3913326964979476,-0.89213534
mp-20622,5.2637840994535585,-0.20134568
mp-16261,3.486607023765527,-0.3006946
mp-11430,0.4065150998326277,-0.27561704
mp-1335,6.668191283,-1.42987616
mp-1725,-4.225535727,-0.41912498
mp-9900,-0.336702401,-0.01327922
mp-21112,5.5655967258315275,-0.03697878
mp-10892,5.563521888061392,-0.81638095
mp-16482,5.0107523689338365,-1.22309212
mp-974616,9.008724688716747,-1.60620593
mp-20025,0.9246768758003078,0.020813739999995917
mp-623030,1.3472866164864206,-0.09101839
mp-5615,-0.058287348,-0.1370831
mp-535,6.082884657169055,-2.79917285
mp-12546,10.03082298894578,-1.42973498
mp-695,6.053480236464612,-2.14387132
mp-248,6.222165308036362,-0.37275922
mp-867113,2.385639860761483,-0.14688609
mp-4652,6.847242646845747,-2.03168052
mp-14588,0.7254104614347703,-0.08990885
mp-20418,8.998948584,-0.93421554
mp-22725,7.224505368,-0.65234647
mp-11350,5.156265630690654,-0.44636144
mp-864735,10.602939857030387,-1.56731342
mp-977384,7.338968851040644,-0.52220975
mp-985825,8.954893464,-0.73712284
mp-568792,8.008385189208015,-1.09032876
mp-29175,-0.065935588,-0.0596253
mp-3479,5.264661722711036,-0.18555353
mp-12108,6.313735264216842,-1.05031229
mp-984352,13.281421261464514,-1.09665052
mp-22253,-1.235941972,-0.06754842
mp-1017579,5.173193636159776,-0.437513
mp-894,3.4906006211572222,-1.048015
mp-1755,2.194667261577142,-0.22651393
mp-2488,8.940754271727505,-1.36699893
mp-974395,9.020840352449897,-1.15047774
mp-977414,2.0582115948309667,0.0067024
mp-998949,6.664984572,-1.19248346
mp-4483,0.7297154191177767,-0.22787217
mp-13911,-3.255096897,-0.42911599
mp-20862,4.554240220409262,-1.56026929
mp-999298,4.281958283605654,-1.51707052
mp-2258,5.451505344129255,-0.60777597
mp-1431,9.139576657261197,-1.07026421
mp-13463,5.998102186500566,-1.78082748
mp-865743,8.976558992,-0.18962742
mp-1841,8.412218800259895,-1.19651907
mp-2512,3.9696014791619065,-1.03344864
mp-9071,3.0109046791219525,-0.02887766
mp-30368,-0.297095037,-0.56095653
mp-21237,8.363332934494887,-1.58957789
mp-675748,-2.275521861,-0.05720738
mp-2554,9.316125223469065,-1.51738932
mp-786,6.116101075401818,0.08687145
mp-2103,3.6297667131862963,-0.25596997
mp-864857,8.040116163090774,-1.13918328
mp-1684,1.3012671123579773,-0.10406631
mp-10125,7.726922922,-1.49802217
mp-644500,-1.464526906,-2.18702683
